@relation TrainingSet

@attribute Longitude numeric
@attribute Latitude numeric
@attribute Type {Reef,Tiger,Bull,White,Shark,Galapagos,Lemon,Whale,Gray,Mako,Nurse,Blue,Hammerhead,Porbeagle,Blacktip,Silky,Silvertip,Sandbar,Basking,Cow,Whitetip,Zebra}

@data
-122.03635,37.36883,Shark
-79.4163,43.70011,Silvertip
-98.5,39.76,Blue
-79.4163,43.70011,Blue
-87.03969,30.63241,Shark
-122.0308,36.97412,Reef
-2.35622,49.43331,White
22.14605,-34.18307,Shark
114.01667,22.3,Shark
153.38112,-27.87667,Shark
-84.3642,33.6101,Whale
-80.05699,26.6159,Lemon
149.12807,-35.28346,Nurse
7.16755,51.27027,Shark
0,0,Nurse
4.88969,52.37403,Reef
10.01534,53.57532,Shark
144.96332,-37.814,Shark
116.0724,5.9749,White
9.27246,45.58005,Whale
-80.41394,37.22957,Shark
14.50194,35.9125,Shark
-100.31846,25.67506,Mako
135,-25,White
151.20732,-33.86785,Gray
-110.92648,32.22174,Hammerhead
-80.41394,37.22957,White
-2.23743,53.48095,Blacktip
-80.41394,37.22957,Shark
2.65024,39.56939,Shark
-80.05699,26.6159,Tiger
8.01427,47.00016,Whale
-74.00597,40.71427,Tiger
-157.85833,21.30694,Shark
100.02489,9.74512,Bull
-79.4163,43.70011,Reef
-2.23743,53.48095,Blacktip
-80.38232,33.91617,Whale
-0.12574,51.50853,Shark
-79.84963,43.25011,Shark
151.77647,-32.92715,Bull
-80.05699,26.6159,Lemon
-90.45232,31.43878,White
151.20732,-33.86785,Shark
151.20732,-33.86785,Shark
4.88969,52.37403,Tiger
98.23994,8.61502,Shark
-157.85833,21.30694,Tiger
-0.0061,51.12382,Reef
151.20732,-33.86785,Shark
-86.84656,21.17429,Whale
151.20732,-33.86785,Shark
116.0724,5.9749,White
-97.74306,30.26715,Shark
-118.53675,34.22834,Shark
120.9822,14.6042,Whale
-2.23743,53.48095,Blacktip
0,0,Hammerhead
-114.98194,36.0397,Shark
2,46,Blacktip
174,-42,Nurse
9.27246,45.58005,Blue
0,0,Reef
-0.32719,51.06395,Reef
172.63333,-43.53333,Shark
-79.4163,43.70011,Reef
0,0,Shark
4.88969,52.37403,Tiger
149.12807,-35.28346,Nurse
-157.85833,21.30694,Galapagos
-80.86039,32.23715,Reef
-122.41942,37.77493,White
9.25853,59.55936,Shark
-79.4163,43.70011,Shark
-2.35622,49.43331,Silky
9.27246,45.58005,Blue
-117.55477,33.53419,Tiger
9.27246,45.58005,Tiger
2,46,Blacktip
151.20732,-33.86785,Shark
174,-42,Shark
-3.70256,40.4165,Shark
-0.0061,51.12382,Reef
-156.61706,20.86774,Shark
13.06566,52.39886,Shark
103.8,1.36667,Whale
116.0724,5.9749,Whale
151.20732,-33.86785,Shark
0,0,Shark
-122.41942,37.77493,Whale
-117.99923,33.6603,Shark
114.01667,22.3,Shark
-157.85833,21.30694,Whale
-2.23743,53.48095,Blacktip
135,-25,Tiger
-81.09983,32.08354,Tiger
151.20732,-33.86785,Shark
-0.0061,51.12382,Reef
116.0724,5.9749,Whale
-122.27275,37.87159,Whale
-0.0061,51.12382,Lemon
-117.99923,33.6603,White
151.20732,-33.86785,Gray
-121.89468,36.60024,Shark
114.01667,22.3,Shark
-49.27306,-25.42778,Shark
-80.05699,26.6159,Tiger
-122.33207,47.60621,Shark
4.88969,52.37403,Lemon
-9.13333,38.71667,Zebra
28.04363,-26.20227,Shark
-86.29997,32.36681,Whale
-117.99923,33.6603,Tiger
-117.55477,33.53419,Tiger
-3.70256,40.4165,Tiger
-117.55477,33.53419,Tiger
-79.4163,43.70011,Tiger
-3.70256,40.4165,Blue
9.27246,45.58005,Blue
114.01667,22.3,Shark
15.62157,58.41086,Shark
-98.5,39.76,Shark
-0.12574,51.50853,Shark
149.12807,-35.28346,Nurse
115.8614,-31.95224,White
4.88969,52.37403,Reef
-0.12574,51.50853,Lemon
129.04028,35.10278,Shark
22.14605,-34.18307,Shark
117.17667,39.14222,Whale
4.88969,52.37403,Reef
22.14605,-34.18307,Tiger
-117.55477,33.53419,Lemon
-117.55477,33.53419,Lemon
-118.5,32.5,White
-98.5,39.76,Lemon
-78.39085,40.33591,Shark
-0.12574,51.50853,Reef
-117.55477,33.53419,Lemon
9.27246,45.58005,Blue
-117.99923,33.6603,White
-97.97959,30.36377,Reef
18.42322,-33.92584,Shark
